Word,Count
ahmedabad,170
ghansoli,124
himachal,59
naupada,137
district,58
kalwa,57
jamnagar,76
khar,101
dombivli,121
vill,200
jammu,166
manpada,108
badlapur,67
andhra,538
dahanu,62
thanethane,77
delhi,1950
sy,160
kalina,70
vakola,90
pradesh,2777
telangana,561
rangareddy,89
guwahati,58
bihar,121
jharkhand,97
orissa,155
khata,55
madhya,192
uttar,1688
kolkata,131
khasra,251
chhattisgarh,52
gujarat,666
vadodara,178
nagpur,58
latur,54
aligarh,109
uttarakhand,233
gorakhpur,59
hathras,65
lucknow,164
sitapur,53
moradabad,51
dehradun,205
ambala,84
chandigarh,222
haryana,943
yamunanagar,55
gurgaon,288
vpo,69
kaithal,78
karnal,79
palwal,111
fazilka,59
amritsar,159
gurdaspur,59
barmer,76
jaipur,277
udaipur,147
meerut,91
noida,124
ghaziabad,168
faridabad,184
ludhiana,94
kanpur,51
varanasi,91
jaunpur,67
